Rank,Publisher
578,Sony Computer Entertainment
579,Microsoft Game Studios
580,Sony Computer Entertainment
581,Sega
582,Nintendo
583,Electronic Arts
584,Electronic Arts
585,Take-Two Interactive
586,Nintendo
587,Electronic Arts
588,Nintendo
589,Sega
590,Electronic Arts
591,Sony Computer Entertainment
592,Electronic Arts
593,Sony Computer Entertainment
594,Sony Computer Entertainment
595,Take-Two Interactive
596,Capcom
597,THQ
598,Sony Computer Entertainment
599,Nintendo
600,Electronic Arts
601,Electronic Arts
602,Sega
603,Enix Corporation
604,Electronic Arts
605,Nintendo
606,Konami Digital Entertainment
607,Electronic Arts
608,Atari
609,Acclaim Entertainment
610,Nintendo
611,Midway Games
612,Capcom
613,Square Enix
614,Activision
615,Konami Digital Entertainment
616,Nintendo
617,THQ
618,Take-Two Interactive
619,Warner Bros. Interactive Entertainment
620,Midway Games
621,Sony Computer Entertainment
622,Disney Interactive Studios
623,Eidos Interactive
624,Take-Two Interactive
625,Electronic Arts
626,Take-Two Interactive
627,Nintendo
628,THQ
629,Take-Two Interactive
630,SquareSoft
631,SquareSoft
632,Sony Computer Entertainment
633,Microsoft Game Studios
634,Electronic Arts
635,Electronic Arts
636,Red Orb
637,Ubisoft
638,Sega
639,Nintendo
640,Konami Digital Entertainment
641,Atari
642,Sony Computer Entertainment
643,Capcom
644,Microsoft Game Studios
645,Electronic Arts
646,Electronic Arts
647,JVC
648,Nintendo
649,Electronic Arts
650,Konami Digital Entertainment
651,Electronic Arts
652,505 Games
653,LucasArts
655,Hasbro Interactive
656,Warner Bros. Interactive Entertainment
657,Deep Silver
658,RedOctane
659,LucasArts
660,Microsoft Game Studios
661,THQ
662,Sony Computer Entertainment
663,Take-Two Interactive
664,Electronic Arts
665,Konami Digital Entertainment
666,Electronic Arts
667,Vivendi Games
668,THQ
669,Activision
670,Electronic Arts
671,Microsoft Game Studios
672,Nintendo
673,Warner Bros. Interactive Entertainment
674,Nintendo
675,Eidos Interactive
676,Take-Two Interactive
677,Activision
678,THQ
679,Ubisoft
680,Capcom
681,Electronic Arts
682,Nintendo
683,Take-Two Interactive
684,Ubisoft
685,Nintendo
686,Take-Two Interactive
687,Electronic Arts
688,Nintendo
689,Electronic Arts
690,SquareSoft
691,989 Studios
692,Warner Bros. Interactive Entertainment
693,NCSoft
694,Nintendo
695,Deep Silver
696,Eidos Interactive
697,Sony Computer Entertainment
698,Electronic Arts
699,Konami Digital Entertainment
700,Ubisoft
701,Level 5
702,Nintendo
703,Electronic Arts
704,LucasArts
705,Take-Two Interactive
706,Codemasters
707,Nintendo
708,Sega
709,Sega
710,Nintendo
711,Nintendo
712,Activision
713,Activision
714,Capcom
715,Sony Computer Entertainment Europe
716,Capcom
717,UEP Systems
718,Nintendo
719,Electronic Arts
720,Nintendo
721,Square Enix
722,Sega
723,Vivendi Games
724,Konami Digital Entertainment
725,Activision
726,Konami Digital Entertainment
727,Nintendo
728,Ubisoft
729,Warner Bros. Interactive Entertainment
730,Nintendo
731,Electronic Arts
732,Take-Two Interactive
733,Ubisoft
734,Capcom
735,Electronic Arts
736,Parker Bros.
737,Activision
738,Nintendo
739,Namco Bandai Games
740,Sega
741,Disney Interactive Studios
742,Konami Digital Entertainment
743,THQ
744,Activision
745,Nintendo
746,Nintendo
747,Square Enix
748,Konami Digital Entertainment
749,THQ
750,Microsoft Game Studios
751,Electronic Arts
752,Nintendo
753,Nintendo
754,Square Enix
755,Nintendo
